nan,1564
theuniversityoftexasataustin,106
stanforduniversity,103
"universityofcalifornia,berkeley",80
arizonastateuniversity,76
universityofsoutherncalifornia,69
northcarolinastateuniversity,66
purdueuniversity,64
massachusettsinstituteoftechnology,58
"universityofcalifornia,sandiego",56
cornelluniversity,55
texasa&muniversity,55
georgiainstituteoftechnology,55
pennstateuniversity,54
rensselaerpolytechnicinstitute,54
universityofillinoisaturbana-champaign,53
universityofminnesota-twincities,52
"universityofcalifornia,losangeles",52
sanjosestateuniversity,52
carnegiemellonuniversity,52
universityofmichigan,52
universityofflorida,50
universityofvermont,40
theuniversityoftexasatdallas,40
northeasternuniversity,39
"universityofcalifornia,davis",39
syracuseuniversity,38
rochesterinstituteoftechnology,37
iowastateuniversity,36
brighamyounguniversity,34
universityofarizona,34
universityofphoenix,33
columbiauniversityinthecityofnewyork,33
bostonuniversity,32
harvardbusinessschool,31
universityofwisconsin-madison,31
"universityofcalifornia,irvine",30
oregonstateuniversity,29
"universityofmassachusetts,amherst",28
universityofmarylandcollegepark,27
universityofwashington,27
sandiegostateuniversity-californiastateuniversity,27
theohiostateuniversity,27
harvarduniversity,26
universityofpittsburgh,25
stateuniversityofnewyorkatalbany,24
princetonuniversity,24
clarksonuniversity,24
michiganstateuniversity,23
newyorkuniversity,22
virginiapolytechnicinstituteandstateuniversity,22
santaclarauniversity,22
champlaincollege,22
universityofcentralflorida,21
universityoforegon,21
universityofcincinnati,21
universityofpennsylvania,21
universityofcoloradoatboulder,21
theuniversityofconnecticut,20
thejohnshopkinsuniversity,20
maristcollege,20
clemsonuniversity,20
universityofvirginia,19
"universityofcalifornia,santabarbara",19
newmexicostateuniversity,19
dartmouthcollege,18
theuniversityoftexasatarlington,18
lehighuniversity,18
northwesternuniversity,18
universityofnorthcarolinaatchapelhill,18
yaleuniversity,17
californiastateuniversity-longbeach,17
dukeuniversity,16
universityatbuffalo,16
universityofnorthtexas,16
loyolamarymountuniversity,16
texastechuniversity,15
universityofnotredame,15
"universityofcalifornia,santacruz",14
californiapolytechnicstateuniversity-sanluisobispo,14
theuniversityofgeorgia,14
paceuniversity,14
casewesternreserveuniversity,14
"arizonastateuniversity,w.p.careyschoolofbusiness",13
binghamtonuniversity,13
universityofpennsylvania-thewhartonschool,13
floridastateuniversity,13
coloradostateuniversity,13
"universityofcalifornia,riverside",13
"southernillinoisuniversity,carbondale",13
"rutgers,thestateuniversityofnewjersey-newbrunswick",13
universityofhouston,13
universityofdelaware,13
villanovauniversity,13
newyorkuniversity-leonardn.sternschoolofbusiness,13
universityofmaine,13
riceuniversity,12
universityofwaterloo,12
universityofconnecticut,12
coloradotechnicaluniversity,12
brownuniversity,12
southernnewhampshireuniversity,12
stanforduniversitygraduateschoolofbusiness,12
virginiatech,12
californiastateuniversity-northridge,12
ucberkeley,12
universityofcoloradoboulder,11
georgemasonuniversity,11
universityoftoronto,11
stateuniversityofnewyorkcollegeatpotsdam,11
stateuniversityofnewyorkatbuffalo,11
texasstateuniversity-sanmarcos,11
st.edward'suniversity,11
oklahomastateuniversity,11
auburnuniversity,11
universityofmassachusettsatlowell,11
saintmichael'scollege,10
dutchesscommunitycollege,10
kansasstateuniversity,10
universityofutah,10
westernmichiganuniversity,10
universityofsouthflorida,10
rutgersuniversity-newbrunswick,10
theuniversityofnewmexico,10
desalesuniversity,10
universityofmassachusettslowell,10
universityofsanfrancisco,10
universityofrochester,10
uclaandersonschoolofmanagement,9
louisianastateuniversity,9
marymountuniversity,9
northwesternuniversity-kelloggschoolofmanagement,9
columbiauniversity-columbiabusinessschool,9
